Ceres Product Code,Order (UNITS),Order (CASES),Product Description,Unit Size,Quantity,Unit Trade Price,Case Trade Price
,,,,,,,
GROCERY,,,,,,,
,,,,,,,
12417,,,Paleo Breakfast Crumble with Cacao,350g,6 Outer,$8.67,$52.02
12253,,,Paleo Breakfast Mix (Grain Free Muesli),400g,6 Outer,$8.67,$52.02
12418,,,Supergood Muesli Blackcurrant & Vanilla,700g,6 Outer,$8.67,$52.02
12270,,,Supergood Muesli Cacao Almond Crunch,700g,6 Outer,$8.67,$52.02
12275,,,Supergood Muesli Cashew & Cranberry,700g,6 Outer,$8.67,$52.02
,,,BREAKFAST CEREAL - COLD,,,,
,,,Ceres Organics,,,,
11743,,,Almond Meal,250g,6 Outer,$11.57,$69.42
12381,,,Amaranth Flakes,500g,6 Outer,$9.85,$59.10
11527,,,Amaranth Puffs,150g,6 Outer,$5.21,$31.26
12135,,,Ancient Grain Puffs (Quinoa) boxed cereal,150g,Ctn 12,$4.02,$48.24
11957,,,Chia Ground,300g,6 Outer,$6.92,$41.52
11397,,,Flaxseed Ground (Ground Linseed),250g,6 Outer,$3.62,$21.72
10560,,,"LSA (Linseed, Sunflower Seed & Almond)",700g,6 Outer,$9.82,$58.92
11398,,,"LSA (Linseed, Sunflower Seed & Almond)",250g,6 Outer,$4.61,$27.66
12250,,,"LSA +P (Linseed, Sunflower Seed, Almond & Pumpkin Seed)",250g,6 Outer,$4.61,$27.66
12269,,,LSA Power Blend with Cacao & Maca,250g,6 Outer,$5.78,$34.68
11925,,,"LSC (Linseed, Sunflower, Ground Chia)",250g,6 Outer,$4.61,$27.66
11493,,,Psyllium Husk,180g,6 Outer,$5.50,$33.00
11492,,,Quinoa Flakes,420g,6 Outer,$9.85,$59.10
11526,,,Quinoa Puffs,150g,6 Outer,$9.56,$57.36
12268,,,Super Seed Blend,250g,6 Outer,$5.78,$34.68
12133,,,Superfood Crunch (Quinoa) boxed cereal,250g,Ctn 12,$5.77,$69.24
,,,Nature's Path,,,,
